统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
0,29500740,29500771,29500740,29500771,0,0.000000,31,100.000000,0.000000,1.000000
1,29500771,29500803,29500787,29500803,16,50.000000,16,50.000000,100.000000,100.000000
2,29500803,29500834,29500818,29500834,15,48.387097,16,51.612903,93.750000,106.666667
3,29500834,29500865,29500834,29500849,16,51.612903,15,48.387097,106.666667,93.750000
4,29500865,29500881,29500865,29500881,0,0.000000,16,100.000000,0.000000,1.000000
5,29500881,29500912,29500896,29500912,15,48.387097,16,51.612903,93.750000,106.666667
6,29500912,29500927,29500912,29500927,0,0.000000,15,100.000000,0.000000,1.000000
7,29500927,29500959,29500943,29500959,16,50.000000,16,50.000000,100.000000,100.000000
8,29500959,29500990,29500974,29500990,15,48.387097,16,51.612903,93.750000,106.666667
9,29500990,29501021,29500990,29501005,16,51.612903,15,48.387097,106.666667,93.750000
10,29501021,29501052,29501021,29501037,15,48.387097,16,51.612903,93.750000,106.666667
11,29501052,29501068,29501052,29501068,0,0.000000,16,100.000000,0.000000,1.000000
12,29501068,29501099,29501083,29501083,31,100.000000,0,0.000000,1.000000,0.000000
13,29501099,29501130,29501099,29501115,15,48.387097,16,51.612903,93.750000,106.666667
14,29501130,29501161,29501130,29501146,15,48.387097,16,51.612903,93.750000,106.666667
15,29501161,29501177,29501161,29501177,0,0.000000,16,100.000000,0.000000,1.000000
16,29501177,29501208,29501193,29501208,16,51.612903,15,48.387097,106.666667,93.750000
17,29501208,29501239,29501224,29501239,16,51.612903,15,48.387097,106.666667,93.750000
18,29501239,29501271,29501255,29501271,16,50.000000,16,50.000000,100.000000,100.000000
19,29501271,29501302,29501286,29501302,15,48.387097,16,51.612903,93.750000,106.666667
20,29501302,29501333,29501302,29501317,16,51.612903,15,48.387097,106.666667,93.750000
21,29501333,29501364,29501349,29501364,16,51.612903,15,48.387097,106.666667,93.750000
22,29501364,29501395,29501364,29501395,0,0.000000,31,100.000000,0.000000,1.000000
23,29501395,29501427,29501395,29501411,16,50.000000,16,50.000000,100.000000,100.000000
24,29501427,29501442,29501427,29501442,0,0.000000,15,100.000000,0.000000,1.000000
25,29501442,29501473,29501458,29501473,16,51.612903,15,48.387097,106.666667,93.750000
26,29501473,29501505,29501489,29501505,16,50.000000,16,50.000000,100.000000,100.000000
27,29501505,29501536,29501505,29501520,16,51.612903,15,48.387097,106.666667,93.750000
28,29501536,29501551,29501536,29501551,0,0.000000,15,100.000000,0.000000,1.000000
29,29501551,29501583,29501567,29501583,16,50.000000,16,50.000000,100.000000,100.000000
30,29501583,29501614,29501598,29501614,15,48.387097,16,51.612903,93.750000,106.666667
31,29501614,29501645,29501614,29501629,16,51.612903,15,48.387097,106.666667,93.750000
32,29501645,29501676,29501645,29501661,15,48.387097,16,51.612903,93.750000,106.666667
33,29501676,29501707,29501676,29501692,15,48.387097,16,51.612903,93.750000,106.666667
34,29501707,29501739,29501707,29501739,0,0.000000,32,100.000000,0.000000,1.000000
35,29501739,29501817,29501739,29501817,0,0.000000,78,100.000000,0.000000,1.000000
36,29501817,29501848,29501817,29501832,16,51.612903,15,48.387097,106.666667,93.750000
37,29501848,29501879,29501848,29501863,16,51.612903,15,48.387097,106.666667,93.750000
38,29501879,29501910,29501879,29501910,0,0.000000,31,100.000000,0.000000,1.000000
39,29501910,29501941,29501910,29501926,15,48.387097,16,51.612903,93.750000,106.666667
40,29501941,29501973,29501941,29501957,16,50.000000,16,50.000000,100.000000,100.000000
41,29501973,29501988,29501973,29501988,0,0.000000,15,100.000000,0.000000,1.000000
42,29501988,29502019,29502004,29502019,16,51.612903,15,48.387097,106.666667,93.750000
43,29502019,29502051,29502035,29502051,16,50.000000,16,50.000000,100.000000,100.000000
