统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%),,单程1,单程2
0,14380047,14380140,14380094,14380109,78,83.870968,15,16.129032,520,19.230769,,47,31
1,14380140,14380187,14380172,14380187,32,68.085106,15,31.914894,213.333333,46.875,,32,0
2,14380187,14380296,14380234,14380265,78,71.559633,31,28.440367,251.612903,39.74359,,47,31
3,14380296,14380343,14380312,14380343,16,34.042553,31,65.957447,51.612903,193.75,,16,0
4,14380343,14380437,14380390,14380406,78,82.978723,16,17.021277,487.5,20.512821,,47,31
5,14380437,14380499,14380452,14380484,30,48.387097,32,51.612903,93.75,106.666667,,15,15
6,14380499,14380593,14380530,14380562,62,65.957447,32,34.042553,193.75,51.612903,,31,31
7,14380593,14380640,14380608,14380640,15,31.914894,32,68.085106,46.875,213.333333,,15,0
8,14380640,14380749,14380686,14380702,93,85.321101,16,14.678899,581.25,17.204301,,46,47
9,14380749,14380796,14380749,14380780,16,34.042553,31,65.957447,51.612903,193.75,,0,16
10,14380796,14380889,14380827,14380858,62,66.666667,31,33.333333,200,50,,31,31
11,14380889,14380936,14380905,14380920,32,68.085106,15,31.914894,213.333333,46.875,,16,16
12,14380936,14381045,14380983,14380998,94,86.238532,15,13.761468,626.666667,15.957447,,47,47
13,14381045,14381092,14381061,14381076,32,68.085106,15,31.914894,213.333333,46.875,,16,16
14,14381092,14381186,14381123,14381154,63,67.021277,31,32.978723,203.225806,49.206349,,31,32
15,14381186,14381248,14381201,14381217,46,74.193548,16,25.806452,287.5,34.782609,,15,31
16,14381248,14381342,14381279,14381295,78,82.978723,16,17.021277,487.5,20.512821,,31,47
17,14381342,14381388,14381342,14381373,15,32.608696,31,67.391304,48.387097,206.666667,,0,15
18,14381388,14381435,14381420,14381435,32,68.085106,15,31.914894,213.333333,46.875,,32,0
19,14381435,14381544,14381498,14381513,94,86.238532,15,13.761468,626.666667,15.957447,,63,31
20,14381544,14381591,14381560,14381591,16,34.042553,31,65.957447,51.612903,193.75,,16,0
21,14381591,14381685,14381638,14381654,78,82.978723,16,17.021277,487.5,20.512821,,47,31
22,14381685,14381747,14381716,14381732,46,74.193548,16,25.806452,287.5,34.782609,,31,15
23,14381747,14381841,14381778,14381810,62,65.957447,32,34.042553,193.75,51.612903,,31,31
24,14381841,14381888,14381856,14381888,15,31.914894,32,68.085106,46.875,213.333333,,15,0
25,14381888,14381997,14381934,14381950,93,85.321101,16,14.678899,581.25,17.204301,,46,47
26,14381997,14382044,14381997,14382028,16,34.042553,31,65.957447,51.612903,193.75,,0,16
27,14382044,14382137,14382075,14382106,62,66.666667,31,33.333333,200,50,,31,31
28,14382137,14382200,14382153,14382168,48,76.190476,15,23.809524,320,31.25,,16,32
29,14382200,14382293,14382231,14382246,78,83.870968,15,16.129032,520,19.230769,,31,47
30,14382293,14382340,14382293,14382324,16,34.042553,31,65.957447,51.612903,193.75,,0,16
31,14382340,14382449,14382371,14382402,78,71.559633,31,28.440367,251.612903,39.74359,,31,47
32,14382449,14382496,14382449,14382465,31,65.957447,16,34.042553,193.75,51.612903,,0,31
33,14382496,14382590,14382512,14382543,63,67.021277,31,32.978723,203.225806,49.206349,,16,47
34,14382590,14382636,14382605,14382621,30,65.217391,16,34.782609,187.5,53.333333,,15,15
35,14382636,14382746,14382668,14382699,79,71.818182,31,28.181818,254.83871,39.240506,,32,47
36,14382746,14382792,14382746,14382761,31,67.391304,15,32.608696,206.666667,48.387097,,0,31
37,14382792,14382839,14382824,14382839,32,68.085106,15,31.914894,213.333333,46.875,,32,0
38,14382839,14382948,14382886,14382917,78,71.559633,31,28.440367,251.612903,39.74359,,47,31
39,14382948,14382995,14382964,14382980,31,65.957447,16,34.042553,193.75,51.612903,,16,15
40,14382995,14383089,14383042,14383058,78,82.978723,16,17.021277,487.5,20.512821,,47,31
41,14383089,14383136,14383104,14383136,15,31.914894,32,68.085106,46.875,213.333333,,15,0
42,14383136,14383245,14383182,14383198,93,85.321101,16,14.678899,581.25,17.204301,,46,47
43,14383245,14383292,14383260,14383276,31,65.957447,16,34.042553,193.75,51.612903,,15,16
44,14383292,14383385,14383323,14383354,62,66.666667,31,33.333333,200,50,,31,31
45,14383385,14383448,14383401,14383416,48,76.190476,15,23.809524,320,31.25,,16,32
46,14383448,14383541,14383479,14383494,78,83.870968,15,16.129032,520,19.230769,,31,47
47,14383541,14383588,14383541,14383572,16,34.042553,31,65.957447,51.612903,193.75,,0,16
48,14383588,14383697,14383619,14383635,93,85.321101,16,14.678899,581.25,17.204301,,31,62
49,14383697,14383791,14383744,14383760,78,82.978723,16,17.021277,487.5,20.512821,,47,31
50,14383791,14383838,14383822,14383838,31,65.957447,16,34.042553,193.75,51.612903,,31,0
51,14383838,14383947,14383884,14383916,77,70.642202,32,29.357798,240.625,41.558442,,46,31
52,14383947,14383994,14383962,14383978,31,65.957447,16,34.042553,193.75,51.612903,,15,16
53,14383994,14384087,14384040,14384056,77,82.795699,16,17.204301,481.25,20.779221,,46,31
54,14384087,14384150,14384103,14384134,32,50.793651,31,49.206349,103.225806,96.875,,16,16
55,14384150,14384243,14384181,14384196,78,83.870968,15,16.129032,520,19.230769,,31,47
56,14384243,14384290,14384243,14384274,16,34.042553,31,65.957447,51.612903,193.75,,0,16
57,14384290,14384399,14384321,14384352,78,71.559633,31,28.440367,251.612903,39.74359,,31,47
58,14384399,14384446,14384399,14384415,31,65.957447,16,34.042553,193.75,51.612903,,0,31
59,14384446,14384540,14384477,14384493,78,82.978723,16,17.021277,487.5,20.512821,,31,47
60,14384540,14384649,14384586,14384618,77,70.642202,32,29.357798,240.625,41.558442,,46,31
61,14384649,14384742,14384664,14384696,61,65.591398,32,34.408602,190.625,52.459016,,15,46
