统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
0,7542351,7542461,7542383,7542414,79,71.818182,31,28.181818,254.83871,39.240506
1,7542461,7542507,7542461,7542492,15,32.608696,31,67.391304,48.387097,206.666667
2,7542507,7542601,7542539,7542554,79,84.042553,15,15.957447,526.666667,18.987342
3,7542601,7542648,7542617,7542632,32,68.085106,15,31.914894,213.333333,46.875
4,7542648,7542757,7542695,7542710,94,86.238532,15,13.761468,626.666667,15.957447
5,7542757,7542804,7542757,7542788,16,34.042553,31,65.957447,51.612903,193.75
6,7542804,7542897,7542835,7542851,77,82.795699,16,17.204301,481.25,20.779221
7,7542897,7542960,7542913,7542929,47,74.603175,16,25.396825,293.75,34.042553
8,7542960,7543053,7542975,7543007,61,65.591398,32,34.408602,190.625,52.459016
9,7543053,7543100,7543053,7543085,15,31.914894,32,68.085106,46.875,213.333333
10,7543100,7543209,7543131,7543163,77,70.642202,32,29.357798,240.625,41.558442
11,7543209,7543256,7543209,7543225,31,65.957447,16,34.042553,193.75,51.612903
12,7543256,7543350,7543287,7543303,78,82.978723,16,17.021277,487.5,20.512821
13,7543350,7543412,7543350,7543381,31,50,31,50,100,100
14,7543412,7543506,7543428,7543459,63,67.021277,31,32.978723,203.225806,49.206349
15,7543506,7543599,7543553,7543584,62,66.666667,31,33.333333,200,50
16,7543599,7543709,7543631,7543646,95,86.363636,15,13.636364,633.333333,15.789474
17,7543709,7543802,7543755,7543787,61,65.591398,32,34.408602,190.625,52.459016
18,7543802,7543911,7543833,7543849,93,85.321101,16,14.678899,581.25,17.204301
19,7543911,7544005,7543958,7543974,78,82.978723,16,17.021277,487.5,20.512821
20,7544005,7544099,7544036,7544052,78,82.978723,16,17.021277,487.5,20.512821
21,7544099,7544208,7544161,7544177,93,85.321101,16,14.678899,581.25,17.204301
22,7544208,7544301,7544223,7544255,61,65.591398,32,34.408602,190.625,52.459016
23,7544301,7544411,7544348,7544379,79,71.818182,31,28.181818,254.83871,39.240506
24,7544411,7544457,7544426,7544457,15,32.608696,31,67.391304,48.387097,206.666667
25,7544457,7544551,7544504,7544535,63,67.021277,31,32.978723,203.225806,49.206349
26,7544551,7544598,7544582,7544598,31,65.957447,16,34.042553,193.75,51.612903
27,7544598,7544707,7544660,7544676,93,85.321101,16,14.678899,581.25,17.204301
28,7544707,7544754,7544723,7544754,16,34.042553,31,65.957447,51.612903,193.75
29,7544754,7544847,7544801,7544832,62,66.666667,31,33.333333,200,50
30,7544847,7544910,7544879,7544894,48,76.190476,15,23.809524,320,31.25
31,7544910,7545003,7544957,7544972,78,83.870968,15,16.129032,520,19.230769
32,7545003,7545050,7545019,7545050,16,34.042553,31,65.957447,51.612903,193.75
33,7545050,7545159,7545097,7545128,78,71.559633,31,28.440367,251.612903,39.74359
34,7545159,7545206,7545175,7545206,16,34.042553,31,65.957447,51.612903,193.75
35,7545206,7545300,7545253,7545269,78,82.978723,16,17.021277,487.5,20.512821
36,7545300,7545362,7545331,7545347,46,74.193548,16,25.806452,287.5,34.782609
37,7545362,7545456,7545393,7545440,47,50,47,50,100,100
38,7545456,7545549,7545487,7545518,62,66.666667,31,33.333333,200,50
39,7545549,7545612,7545565,7545596,32,50.793651,31,49.206349,103.225806,96.875
40,7545612,7545705,7545643,7545674,62,66.666667,31,33.333333,200,50
41,7545705,7545752,7545721,7545752,16,34.042553,31,65.957447,51.612903,193.75
42,7545752,7545861,7545799,7545830,78,71.559633,31,28.440367,251.612903,39.74359
43,7545861,7545908,7545877,7545893,31,65.957447,16,34.042553,193.75,51.612903
44,7545908,7546002,7545955,7545971,78,82.978723,16,17.021277,487.5,20.512821
45,7546002,7546049,7546017,7546049,15,31.914894,32,68.085106,46.875,213.333333
46,7546049,7546158,7546095,7546127,77,70.642202,32,29.357798,240.625,41.558442
47,7546158,7546205,7546173,7546205,15,31.914894,32,68.085106,46.875,213.333333
48,7546205,7546298,7546251,7546267,77,82.795699,16,17.204301,481.25,20.779221
49,7546298,7546361,7546314,7546345,32,50.793651,31,49.206349,103.225806,96.875
50,7546361,7546454,7546392,7546423,62,66.666667,31,33.333333,200,50
51,7546454,7546501,7546470,7546501,16,34.042553,31,65.957447,51.612903,193.75
52,7546501,7546610,7546548,7546579,78,71.559633,31,28.440367,251.612903,39.74359
53,7546610,7546657,7546626,7546641,32,68.085106,15,31.914894,213.333333,46.875
54,7546657,7546751,7546704,7546719,79,84.042553,15,15.957447,526.666667,18.987342
