统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
0,79304016362,79304106038,79304020742,79304104278,1965.918529,6.846871,26746.737824,93.153129,7.350124,1360.521173
1,79304106046,79304182806,79304107125,79304181070,901.312811,3.667275,23675.870623,96.332725,3.806883,2626.820604
2,79304182811,79304286441,79304184228,79304284708,1008.573838,3.039660,32171.904527,96.960340,3.134952,3189.841270
3,79304286445,79304367107,79304287959,79304365845,888.825706,3.441521,24937.708559,96.558479,3.564184,2805.691643
4,79304367112,79304450078,79304367923,79304448454,779.643586,2.934937,25784.590401,97.065063,3.023680,3307.227926
5,79304450083,79304524620,79304451225,79304523030,874.737691,3.665294,22990.680778,96.334706,3.804749,2628.294290
6,79304524627,79304601043,79304525761,79304599371,898.431171,3.672006,23568.609596,96.327994,3.811982,2623.307199
7,79304601050,79304678089,79304602625,79304676634,970.151978,3.933073,23696.362282,96.066927,4.094097,2442.541254
8,79304678097,79304752699,79304678964,79304751074,797.893970,3.340393,23088.336340,96.659607,3.455831,2893.659711
9,79304752705,79304846861,79304753576,79304845442,733.217171,2.432134,29413.855307,97.567866,2.492761,4011.615721
10,79304846867,79304926989,79304847817,79304925224,869.294594,3.388582,24784.341299,96.611418,3.507435,2851.086556
11,79304926997,79305014355,79304928049,79305012646,884.022974,3.160558,27086.451107,96.839442,3.263709,3063.998551
12,79305014362,79305094956,79305015502,79305093156,941.335582,3.647914,24863.426295,96.352086,3.786025,2641.292517
13,79305094961,79305181079,79305096234,79305173656,2784.304158,10.097773,24789.144031,89.902227,11.231950,890.317387
14,79305181090,79305265263,79305184936,79305263761,1712.334250,6.353581,25238.359617,93.646419,6.784650,1473.915482
15,79305265269,79305346718,79305266193,79305345293,752.107919,2.884013,25326.409714,97.115987,2.969659,3367.390379
16,79305346730,79305427851,79305347578,79305426036,852.645121,3.282750,25120.852760,96.717250,3.394173,2946.226061
17,79305427858,79305512388,79305430012,79305510843,1184.353850,4.375961,25880.645052,95.624039,4.576215,2185.212220
18,79305512394,79305592946,79305513243,79305591455,749.226280,2.904956,25042.087946,97.095044,2.991868,3342.393162
19,79305592952,79305671289,79305593774,79305669798,740.581361,2.952628,24341.529357,97.047372,3.042460,3286.813662
20,79305671295,79305751015,79305672125,79305749635,707.602598,2.772203,24817.320062,97.227797,2.851245,3507.239819
21,79305751024,79305834529,79305751931,79305832637,896.189896,3.351895,25840.622280,96.648105,3.468144,2883.386924
22,79305834536,79305914960,79305836805,79305913598,1162.581462,4.514821,24587.749446,95.485179,4.728296,2114.927017
23,79305914967,79305993790,79305915871,79305992252,781.884861,3.098081,24455.834392,96.901919,3.197130,3127.805078
24,79305993799,79306074060,79305994931,79306072698,798.534334,3.107362,24899.606880,96.892638,3.207016,3118.163593
25,79306074066,79306155678,79306074986,79306153834,884.983520,3.386757,25245.723807,96.613243,3.505479,2852.677279
26,79306155684,79306230505,79306156701,79306228945,825.109454,3.444220,23131.240751,96.555780,3.567078,2803.414823
27,79306230512,79306311469,79306231638,79306310151,782.525226,3.018887,25138.462780,96.981113,3.112860,3212.479542
28,79306311476,79306389250,79306312557,79306387916,773.239943,3.105151,24128.608213,96.894849,3.204660,3120.455487
29,79306389256,79306467542,79306390155,79306465923,806.218706,3.216412,24259.562721,96.783588,3.323303,3009.054805
30,79306467548,79306558572,79306468522,79306557005,813.582896,2.791571,28330.679023,97.208429,2.871738,3482.211728
31,79306558579,79306643725,79306559489,79306634712,3177.167681,11.654100,24085.063438,88.345900,13.191444,758.067117
32,79306643735,79306723379,79306645013,79306721961,863.211133,3.385064,24637.377682,96.614936,3.503665,2854.154303
33,79306723385,79306808124,79306724252,79306806664,745.063912,2.746079,26386.853064,97.253921,2.823618,3541.555651
34,79306808130,79306883119,79306808991,79306881742,716.567698,2.984438,23293.573111,97.015562,3.076246,3250.714924
35,79306883126,79306955635,79306884036,79306954215,746.024458,3.213394,22470.064568,96.786606,3.320082,3011.974249
36,79306955641,79307027111,79306956537,79307025697,739.620815,3.232125,22143.798936,96.767875,3.340081,2993.939394
37,79307027120,79307104815,79307027990,79307103384,736.739175,2.961581,24139.814589,97.038419,3.051967,3276.575402
38,79307104822,79307179905,79307105762,79307178568,729.054803,3.032644,23311.183131,96.967356,3.127489,3197.452789
39,79307179912,79307252595,79307180921,79307251181,775.801400,3.333654,22495.999324,96.666346,3.448619,2899.711102
40,79307252603,79307329357,79307253458,79307328041,695.115493,2.828517,23880.146848,97.171483,2.910851,3435.421465
41,79307329363,79307411063,79307330222,79307409692,714.006241,2.729498,25444.877117,97.270502,2.806090,3563.677130
42,79307411069,79307486285,79307412000,79307484703,804.617795,3.341044,23278.204367,96.658956,3.456529,2893.076005
43,79307486292,79307563908,79307487134,79307562407,750.186826,3.018707,24101.072546,96.981293,3.112670,3212.676056
44,79307563914,79307638150,79307564806,79307636566,792.771055,3.335309,22976.272580,96.664691,3.450390,2898.222940
45,79307638159,79307714080,79307639081,79307712673,745.704276,3.067662,23562.846317,96.932338,3.164746,3159.811078
46,79307714087,79307789748,79307715946,79307788110,1119.677051,4.621932,23105.626177,95.378068,4.845907,2063.597369
47,79307789762,79307866857,79307790741,79307865301,811.661803,3.288151,23872.782658,96.711849,3.399946,2941.222880
48,79307866864,79307982847,79307867783,79307981405,755.950105,2.035643,36379.738616,97.964357,2.077943,4812.452351
49,79307982854,79308063448,79307983753,79308062051,735.138264,2.848847,25069.623613,97.151153,2.932387,3410.191638
50,79308063455,79308135876,79308064305,79308134267,787.327958,3.395424,22400.585037,96.604576,3.514765,2845.140301
51,79308135883,79308210570,79308136785,79308209210,724.252070,3.028640,23189.193724,96.971360,3.123231,3201.812555
52,79308210576,79308289579,79308211457,79308287989,791.170144,3.127729,24504.181899,96.872271,3.228715,3097.207608
53,79308289585,79308366175,79308290789,79308364827,817.104900,3.332028,23705.647565,96.667972,3.446879,2901.175549
54,79308366181,79308438808,79308367186,79308437499,740.901543,3.186143,22512.968979,96.813857,3.290999,3038.591184
55,79308438813,79308512710,79308439945,79308511094,879.860605,3.718690,22780.641274,96.281310,3.862317,2589.119360
56,79308512715,79308588654,79308514292,79308587455,888.825706,3.655566,23425.488166,96.344434,3.794268,2635.554755
57,79308588659,79308663790,79308589896,79308662725,737.059357,3.063982,23318.547321,96.936018,3.160829,3163.727194
58,79308663795,79308741110,79308664651,79308739994,631.399241,2.550605,24123.485298,97.449395,2.617363,3820.638945
59,79308741115,79308815814,79308741894,79308814565,649.329442,2.714896,23267.958538,97.285104,2.790659,3583.382643
60,79308815820,79308886962,79308817196,79308885749,828.951640,3.639200,21949.448358,96.360800,3.776640,2647.856315
61,79308886968,79308961861,79308887829,79308960388,747.305187,3.116446,23232.098135,96.883554,3.216693,3108.783205
62,79308961916,79309038243,79308963406,79309035725,1283.290141,5.251091,23155.254414,94.748909,5.542112,1804.366267
63,79309038253,79309317344,79309039712,79309315669,1003.450923,1.122931,88356.511321,98.877069,1.135684,8805.264837
64,79309317357,79309395010,79309318478,79309393951,697.997132,2.807361,24165.108980,97.192639,2.888450,3462.064220
65,79309395015,79309471768,79309395828,79309470546,651.570718,2.651362,23923.371441,97.348638,2.723574,3671.646192
66,79309471773,79309544294,79309472743,79309542958,738.340086,3.179769,22481.591126,96.820231,3.284199,3044.882914
67,79309544299,79309614285,79309545430,79309613143,727.774074,3.247792,21680.495335,96.752208,3.356815,2979.014518
68,79309614290,79309689463,79309615256,79309688322,674.623834,2.802868,23394.430495,97.197132,2.883694,3467.774086
69,79309689471,79309770338,79309690455,79309769166,690.312760,2.666106,25201.858850,97.333894,2.739134,3650.788497
70,79309770343,79309844354,79309771267,79309842973,738.019904,3.114402,22958.982743,96.885598,3.214515,3110.889371
71,79309844361,79309916138,79309845283,79309914581,793.731602,3.453753,22187.984075,96.546247,3.577304,2795.401372
72,79309916145,79309993831,79309917158,79309992063,890.426617,3.579796,23983.245507,96.420204,3.712703,2693.455592
73,79309993838,79310067353,79309994960,79310066181,734.497900,3.120452,22803.694390,96.879548,3.220960,3104.664342
74,79310067358,79310142255,79310068432,79310140599,874.097326,3.645006,23106.586724,96.354994,3.782892,2643.479853
75,79310142261,79310225111,79310143505,79310224051,737.699722,2.780929,25789.393133,97.219071,2.860477,3495.920139
76,79310225117,79310302603,79310226099,79310301399,699.918225,2.821155,24109.717465,97.178845,2.903054,3444.647758
77,79310302608,79310372740,79310303587,79310371514,706.001687,3.144071,21749.014319,96.855929,3.246132,3080.589569
78,79310372748,79310451910,79310373716,79310450508,758.831745,2.993861,24587.429264,97.006139,3.086259,3240.168776
79,79310451916,79310534765,79310452921,79310533398,759.472109,2.863040,25767.300563,97.136960,2.947426,3392.790894
80,79310534770,79310619537,79310536244,79310618520,797.573788,2.938644,26343.308289,97.061356,3.027614,3302.930550
81,79310619545,79310691665,79310621010,79310689905,1032.587501,4.471714,22058.950661,95.528286,4.681036,2136.279070
82,79310691671,79310764342,79310692803,79310763144,746.024458,3.206231,22521.934080,96.793769,3.312435,3018.927039
83,79310764347,79310868760,79310765340,79310867193,819.666357,2.451802,32611.514647,97.548198,2.513426,3978.632812
84,79310868765,79310945590,79310870100,79310944400,808.459981,3.286691,23789.535294,96.713309,3.398385,2942.574257
85,79310945596,79311019247,79310946600,79311018190,659.895454,2.798333,22921.841611,97.201667,2.878894,3473.556526
86,79311019253,79311092271,79311020356,79311090890,795.332512,3.401901,22583.729239,96.598099,3.521706,2839.533011
87,79311092276,79311188090,79311093377,79311186837,753.708830,2.456843,29924.225687,97.543157,2.518725,3970.263381
88,79311188095,79311267500,79311189348,79311266158,830.872733,3.268056,24593.192543,96.731944,3.378466,2959.922929
89,79311267505,79311342477,79311268464,79311340916,806.859071,3.361255,23197.838642,96.638745,3.478165,2875.079365
90,79311342482,79311487647,79311343944,79311485738,1079.334098,2.322185,45399.910733,97.677815,2.377393,4206.288935
91,79311487653,79311567960,79311489153,79311566732,873.456962,3.396964,24839.412632,96.603036,3.516416,2843.804985
92,79311567965,79311640112,79311568952,79311638916,698.957679,3.025767,22401.225401,96.974233,3.120176,3204.947320
93,79311640118,79311714049,79311641052,79311712807,696.716404,2.943285,22974.671669,97.056715,3.032541,3297.564338
94,79311714055,79311786381,79311714955,79311785250,650.289989,2.808119,22507.205700,97.191881,2.889252,3461.102905
95,79311786387,79311868637,79311787178,79311867139,732.896989,2.782979,25602.086563,97.217021,2.862646,3493.272171
96,79311868643,79311946492,79311869609,79311945073,763.634477,3.063623,24162.227341,96.936377,3.160447,3164.109015
97,79311946498,79312018612,79311947784,79312017383,805.258160,3.487534,22284.358909,96.512466,3.613558,2767.355865
98,79312018618,79312096133,79312019777,79312094607,859.689129,3.463846,23959.231845,96.536154,3.588133,2786.964618
99,79312096138,79312183444,79312097580,79312181766,998.968373,3.573638,26954.856235,96.426362,3.706079,2698.269231
100,79312183452,79312260421,79312184520,79312258702,892.347710,3.620938,23751.753798,96.379062,3.756976,2661.715106
101,79312260455,79312343491,79312261587,79312342343,730.015350,2.745797,25856.631389,97.254203,2.823320,3541.929825
102,79312343496,79312420116,79312344593,79312418472,877.619330,3.577395,23654.738600,96.422605,3.710121,2695.330171
103,79312420121,79312498904,79312421536,79312497861,787.007776,3.119962,24437.904190,96.880038,3.220439,3105.166802
104,79312498910,79312575170,79312499833,79312573765,745.384094,3.052714,23671.708255,96.947286,3.148839,3175.773196
105,79312575179,79312654919,79312576165,79312653833,663.417458,2.598445,24867.908845,97.401555,2.667765,3748.455598
106,79312654927,79312735428,79312655916,79312734286,682.308206,2.647172,25092.676729,97.352828,2.719153,3677.616143
107,79312735434,79312842129,79312736371,79312840701,757.230834,2.216599,33404.605885,97.783401,2.266846,4411.416490
108,79312842135,79312922318,79312843320,79312921151,753.068466,2.933290,24920.098539,97.066710,3.021932,3309.141156
109,79312922323,79312997737,79312923199,79312996234,761.713384,3.154587,23384.504848,96.845413,3.257342,3069.987390
110,79312997742,79313070153,79312999194,79313068714,925.646656,3.992487,22259.064517,96.007513,4.158516,2404.704255
111,79313070162,79313155134,79313071382,79313153741,836.636012,3.075131,26369.883409,96.924869,3.172695,3151.894374
112,79313155141,79313232459,79313156122,79313230950,797.253605,3.220466,23958.591480,96.779534,3.327631,3005.140562
113,79313232467,79313309205,79313233515,79313307393,915.721009,3.726967,23654.418418,96.273033,3.871247,2583.146853
114,79313309212,79313390539,79313310392,79313389521,703.760412,2.702669,25335.694997,97.297331,2.777743,3600.045496
115,79313390545,79313471483,79313391356,79313469977,741.862090,2.862685,25173.042454,97.137315,2.947050,3393.223997
116,79313471489,79313551089,79313472912,79313549871,845.601113,3.317839,24640.899686,96.682161,3.431697,2914.009845
117,79313551095,79313631365,79313552119,79313630170,710.484237,2.764420,24990.538617,97.235580,2.843013,3517.395223
118,79313631371,79313704092,79313632361,79313702722,755.629923,3.245280,22528.337723,96.754720,3.354131,2981.398305
119,79313704097,79313778986,79313705148,79313777682,754.029012,3.144654,23224.093580,96.855346,3.246753,3080.000000
120,79313778994,79313858450,79313780068,79313856593,938.453943,3.688834,24501.940624,96.311166,3.830121,2610.883657
121,79313858460,79313935718,79313859539,79313934455,749.866644,3.031401,23986.767511,96.968599,3.126168,3198.804441
122,79313935725,79314026163,79313936735,79314024250,935.892485,3.232048,28020.742682,96.767952,3.339999,2994.013000
123,79314026169,79314108930,79314027673,79314107465,950.620865,3.587439,25547.975776,96.412561,3.720924,2687.504210
124,79314108936,79314196814,79314110511,79314195268,999.288555,3.551515,27137.680255,96.448485,3.682292,2715.700096
125,79314196819,79314282923,79314198256,79314281741,838.557105,3.041671,26730.408533,96.958329,3.137090,3187.667048
126,79314282929,79314363928,79314284449,79314362277,1015.297664,3.914863,24919.137993,96.085137,4.074369,2454.367707
127,79314363964,79314443065,79314365494,79314441739,914.440280,3.610574,24412.289616,96.389426,3.745819,2669.642857
128,79314443073,79314518762,79314444132,79314517164,850.724028,3.510418,23383.544301,96.489582,3.638131,2748.663907
129,79314518767,79314601837,79314520180,79314600585,853.285485,3.208138,25744.247447,96.791862,3.314470,3017.073171
130,79314601842,79314675064,79314602976,79314673885,740.581361,3.158887,22703.797553,96.841113,3.261927,3065.672287
131,79314675079,79314747498,79314676069,79314746168,742.822636,3.203579,22444.449994,96.796421,3.309605,3021.508621
132,79314747504,79314822757,79314748505,79314821566,701.839318,2.912841,23392.829584,97.087159,3.000233,3333.074818
133,79314822765,79314901498,79314823881,79314900259,754.029012,2.991122,24454.873845,97.008878,3.083349,3243.227176
134,79314901505,79314978233,79314902784,79314977005,802.696702,3.267386,23764.240903,96.732614,3.377750,2960.550459
135,79314978241,79315049888,79314979081,79315048689,652.851446,2.845897,22287.240548,97.154103,2.929261,3413.830309
136,79315049893,79315125427,79315050873,79315123975,778.683040,3.219742,23405.957053,96.780258,3.326858,3005.838816
137,79315125432,79315212521,79315126472,79315211332,713.686059,2.559451,27170.659018,97.440549,2.626679,3807.088380
138,79315212526,79315296649,79315213495,79315295684,619.232318,2.299015,26315.452440,97.700985,2.353113,4249.689762
139,79315296654,79315372063,79315297421,79315370201,841.758927,3.486321,23302.858394,96.513679,3.612256,2768.352986
140,79315372069,79315449353,79315373310,79315447778,901.632993,3.643704,23843.325899,96.356296,3.781490,2644.460227
141,79315449359,79315523420,79315450715,79315522237,812.942532,3.428255,22900.069223,96.571745,3.549957,2816.935801
142,79315523425,79315594477,79315524225,79315593127,688.391667,3.025953,22061.191936,96.974047,3.120374,3204.744186
143,79315594482,79315667104,79315595498,79315665842,729.374985,3.136791,22522.894626,96.863209,3.238371,3087.971905
144,79315667110,79315739461,79315668514,79315738146,870.575323,3.758068,22294.924920,96.241932,3.904814,2560.941523
145,79315739467,79315812634,79315740582,79315810991,883.062427,3.769459,22543.706467,96.230541,3.917113,2552.900653
146,79315812640,79315884720,79315814153,79315883518,869.294594,3.766648,22209.436281,96.233352,3.914078,2554.880295
147,79315884725,79315959376,79315885813,79315957846,838.236923,3.506986,23063.682313,96.493014,3.634445,2751.451490
148,79315959384,79316027655,79315960545,79316026615,704.720958,3.223916,21154.436028,96.776084,3.331315,3001.817356
149,79316027661,79316109560,79316028636,79316108429,674.303652,2.571460,25548.295958,97.428540,2.639329,3788.841406
150,79316109565,79316185178,79316110597,79316183995,709.203508,2.929390,23500.730976,97.070610,3.017793,3313.679458
151,79316185183,79316256379,79316186134,79316255052,729.374985,3.199618,22066.314850,96.800382,3.305377,3025.373134
152,79316256384,79316337464,79316257357,79316336308,681.667842,2.625802,25278.702571,97.374198,2.696609,3708.360733
153,79316337469,79316409050,79316338411,79316407459,811.021439,3.538649,22107.938533,96.461351,3.668463,2725.937623
154,79316409056,79316481838,79316410230,79316480342,854.886396,3.668489,22448.612362,96.331511,3.808193,2625.917603
155,79316481845,79316550194,79316482842,79316548756,779.643586,3.562598,21104.487609,96.437402,3.694208,2706.940452
156,79316550200,79316620457,79316551102,79316618682,857.127671,3.810296,21637.911106,96.189704,3.961231,2524.467688
157,79316620466,79316695349,79316622018,79316694036,917.321919,3.825969,23058.879580,96.174031,3.978172,2513.717277
158,79316695355,79316768730,79316696415,79316767707,666.939462,2.838842,22826.427324,97.161158,2.921786,3422.563610
159,79316768736,79316840209,79316769872,79316839187,690.953125,3.019322,22193.427172,96.980678,3.113323,3212.001854
160,79316840215,79316913057,79316841022,79316911890,632.039605,2.709975,22690.670084,97.290025,2.785460,3590.070922
161,79316913062,79316985741,79316913925,79316984254,752.428101,3.233396,22518.091894,96.766604,3.341438,2992.723404
