统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
0,78285534617,78285602064,78285537016,78285600121,1390.230986,6.437647,20205.095891,93.562353,6.880596,1453.362506
1,78285602072,78285660906,78285603013,78285659473,760.112474,4.035082,18077.485366,95.964918,4.204747,2378.264532
2,78285660912,78285718033,78285661779,78285716631,726.493346,3.972269,17562.632435,96.027731,4.136586,2417.452622
3,78285718039,78285774739,78285718886,78285773728,594.898473,3.276896,17559.430614,96.723104,3.387914,2951.668461
4,78285774744,78285832591,78285775510,78285830948,771.318850,4.164434,17750.259187,95.835566,4.345395,2301.286841
5,78285832599,78285895553,78285834340,78285893317,1273.364493,6.317311,18883.383890,93.682689,6.743307,1482.951974
6,78285895560,78285951110,78285896475,78285949471,817.745264,4.597660,16968.374326,95.402340,4.819232,2075.019577
7,78285951118,78286010243,78285952284,78286008595,900.992629,4.759408,18029.778223,95.240592,4.997247,2001.101635
8,78286010251,78286078596,78286012032,78286076798,1145.931989,5.236667,20736.918477,94.763333,5.526048,1809.611623
9,78286078603,78286135677,78286080168,78286133704,1132.804520,6.198970,17141.272699,93.801030,6.608637,1513.171283
10,78286135684,78286195015,78286137172,78286193050,1105.589036,5.819892,17891.139343,94.180108,6.179534,1618.245004
11,78286195022,78286252491,78286196542,78286250291,1191.077676,6.473055,17209.471501,93.526945,6.921059,1444.865591
12,78286252500,78286309552,78286253764,78286307952,917.001737,5.019982,17350.031474,94.980018,5.285303,1892.039106
13,78286309559,78286366672,78286310716,78286365070,883.382609,4.830774,17403.181714,95.169226,5.075983,1970.061617
14,78286366709,78286422545,78286368280,78286421049,981.998718,5.492872,16895.692973,94.507128,5.812125,1720.541246
15,78286422551,78286477232,78286423785,78286475133,1067.167175,6.095353,16440.714109,93.904647,6.491003,1540.594059
16,78286477242,78286535080,78286478746,78286533501,987.121633,5.330406,17531.574765,94.669594,5.630536,1776.029841
17,78286535088,78286591894,78286536313,78286590208,932.050299,5.124459,17256.218098,94.875541,5.401243,1851.425627
18,78286591901,78286648726,78286594194,78286647112,1250.951742,6.875495,16943.400117,93.124505,7.383121,1354.440747
19,78286648733,78286703130,78286649926,78286701237,988.082179,5.673107,16428.867368,94.326893,6.014305,1662.702528
20,78286703136,78286758599,78286704576,78286756977,980.397807,5.520798,16777.865935,94.479202,5.843400,1711.332462
21,78286758608,78286812813,78286759667,78286810869,961.507059,5.540079,16393.967512,94.459921,5.865005,1705.028305
22,78286812820,78286875492,78286814146,78286873840,953.502505,4.751723,19112.954507,95.248277,4.988776,2004.499664
23,78286875498,78286930091,78286877136,78286928279,1104.628489,6.319492,16375.076764,93.680508,6.745791,1482.405797
24,78286930097,78286990031,78286931581,78286986783,1515.102032,7.895352,17674.696195,92.104648,8.572153,1166.568047
25,78286990051,78287046497,78286991133,78287044684,926.927385,5.128796,17146.075431,94.871204,5.406062,1849.775475
26,78287046504,78287101530,78287047854,78287100171,867.373501,4.923127,16750.970632,95.076873,5.178049,1931.229236
27,78287101541,78287157337,78287102543,78287155932,770.678485,4.313929,17094.205919,95.686071,4.508419,2218.072289
28,78287157343,78287214674,78287158190,78287212675,911.238458,4.964156,17445.125579,95.035844,5.223456,1914.441321
29,78287214681,78287271679,78287215620,78287270142,792.771055,4.344012,17456.972319,95.655988,4.541286,2202.019386
30,78287271687,78287330116,78287273101,78287324412,2279.056692,12.182307,16428.867368,87.817693,13.872269,720.862602
31,78287330124,78287387603,78287332421,78287386119,1210.608788,6.578055,17193.142210,93.421945,7.041231,1420.206295
32,78287387613,78287442767,78287388509,78287441348,741.221726,4.197338,16918.105725,95.802662,4.381234,2282.462203
33,78287442774,78287499761,78287444012,78287498400,832.153462,4.560689,17414.067908,95.439311,4.778628,2092.651020
34,78287499768,78287554696,78287500643,78287551847,1192.358404,6.779784,16394.607876,93.220216,7.272869,1374.973147
35,78287554702,78287638521,78287581764,78287637044,9137.678974,34.048366,17699.670404,65.951634,51.626266,193.699849
36,78287638528,78287695513,78287639407,78287692990,1089.259745,5.969992,17156.321261,94.030008,6.349029,1575.044092
37,78287695522,78287749870,78287696411,78287748326,779.003222,4.476706,16622.257400,95.523294,4.686507,2133.785450
38,78287749877,78287804080,78287750790,78287802582,771.959214,4.448093,16582.874993,95.551907,4.655159,2148.154293
39,78287804123,78287858823,78287804964,78287857377,732.256625,4.180987,16781.708121,95.819013,4.363421,2291.779624
40,78287858831,78287915229,78287859738,78287912614,1127.681606,6.244902,16929.952466,93.755098,6.660867,1501.306076
41,78287915235,78287974689,78287919105,78287973201,1715.536071,9.012009,17320.574714,90.987991,9.904614,1009.630459
42,78287974696,78288031372,78287975616,78288029838,785.727047,4.329875,17360.917668,95.670125,4.525838,2209.535452
43,78288031379,78288088264,78288032349,78288086865,758.511563,4.164542,17455.051226,95.835458,4.345513,2301.224145
44,78288088270,78288142775,78288089142,78288141319,745.384094,4.271168,16706.145128,95.728832,4.461736,2241.280069
45,78288142782,78288201009,78288144272,78288198263,1356.291676,7.274976,17286.955586,92.725024,7.845752,1274.575071
46,78288201016,78288258819,78288202475,78288257366,932.370482,5.037801,17575.119540,94.962199,5.305059,1884.993132
47,78288258834,78288317072,78288260678,78288315728,1020.740761,5.474089,17626.028505,94.525911,5.791099,1726.787955
48,78288317078,78288374546,78288318195,78288373182,794.371966,4.317185,17605.857028,95.682815,4.511976,2216.324063
49,78288374556,78288431466,78288375431,78288430009,746.664822,4.097698,17474.902521,95.902302,4.272784,2340.394511
50,78288431472,78288485000,78288432499,78288483536,797.573788,4.653639,16341.137454,95.346361,4.880773,2048.855881
51,78288485008,78288539896,78288486174,78288537341,1191.397858,6.779260,16382.761136,93.220740,7.272265,1375.087342
52,78288539903,78288597095,78288541254,78288595200,1039.311327,5.675619,17272.547389,94.324381,6.017128,1661.922366
