统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
0,23745704450,23745816516,23745736852,23745815056,10842.008669,30.216123,25039.526489,69.783877,43.299575,230.949147
1,23745816524,23745891390,23745817299,23745889895,726.813528,3.032084,23243.944875,96.967916,3.126894,3198.061674
2,23745891396,23745963511,23745892354,23745961913,818.385629,3.544339,22271.551622,96.455661,3.674578,2721.400626
3,23745963516,23746036600,23745964901,23746034886,992.244547,4.240326,22407.949227,95.759674,4.428092,2258.309132
4,23746036609,23746116613,23746037896,23746115345,818.065447,3.193590,24797.788950,96.806410,3.298945,3031.272016
5,23746116619,23746193464,23746117629,23746192117,754.669377,3.067213,23849.729542,96.932787,3.164268,3160.288502
6,23746193470,23746282154,23746194525,23746280634,824.469090,2.903568,27570.566550,97.096432,2.990396,3344.038835
7,23746282160,23746356042,23746283294,23746354204,951.581412,4.022631,22704.117735,95.977369,4.191228,2385.935397
8,23746356049,23746425835,23746357369,23746424312,910.277912,4.073883,21433.955063,95.926117,4.246897,2354.660570
9,23746425842,23746500709,23746427284,23746498338,1220.854617,5.093032,22750.223967,94.906968,5.366341,1863.467086
10,23746500720,23746574112,23746501780,23746572205,949.980501,4.042675,22548.829382,95.957325,4.212993,2373.609707
11,23746574147,23746656695,23746575648,23746649630,2742.680475,10.376993,23687.717364,89.623007,11.578492,863.670325
12,23746656709,23746742318,23746659372,23746740851,1322.352366,4.824259,26088.123099,95.175741,5.068791,1972.857143
13,23746742326,23746813666,23746743275,23746812024,829.592005,3.631904,22012.204064,96.368096,3.768782,2653.377074
14,23746813673,23746900637,23746814615,23746899195,763.314295,2.741364,27081.008010,97.258636,2.818633,3547.818792
15,23746900643,23746980405,23746901507,23746978737,810.701257,3.174444,24727.669055,96.825556,3.278519,3050.157978
16,23746980413,23747053486,23746981571,23747052048,831.192916,3.552612,22565.478855,96.447388,3.683471,2714.830508
17,23747053493,23747128490,23747054389,23747127031,754.029012,3.140126,23258.673255,96.859874,3.241926,3084.585987
18,23747128496,23747203580,23747129431,23747202099,773.560125,3.217729,23266.997991,96.782271,3.324710,3007.781457
19,23747203589,23747284638,23747204596,23747283191,785.727047,3.027798,25164.717718,96.972202,3.122336,3202.730236
20,23747284644,23747372148,23747285590,23747370656,780.604133,2.786158,27236.616545,97.213842,2.866010,3489.171452
21,23747372154,23747449162,23747373093,23747447719,762.673931,3.093185,23893.914682,96.906815,3.191917,3132.913518
22,23747449168,23747519475,23747450092,23747517809,829.271822,3.683844,21681.776063,96.316156,3.824741,2614.555985
23,23747519482,23747608677,23747520497,23747607217,792.450873,2.774819,27766.197856,97.225181,2.854013,3503.838384
24,23747608683,23747697758,23747609580,23747696266,764.915206,2.682010,27755.311662,97.317990,2.755924,3628.547509
25,23747697765,23747783591,23747698693,23747782133,763.954660,2.780043,26716.000336,97.219957,2.859540,3497.066220
26,23747783598,23747871887,23747784553,23747870415,777.082129,2.748927,27491.481553,97.251073,2.826629,3537.783272
27,23747871893,23747953159,23747872879,23747951603,813.903078,3.127999,25206.021218,96.872001,3.229003,3096.931550
28,23747953165,23748041051,23747955388,23748039544,1194.279497,4.244134,26945.250770,95.755866,4.432245,2256.193029
29,23748041058,23748112377,23748042044,23748110904,787.327958,3.447889,22047.744285,96.552111,3.571014,2800.325336
30,23748112384,23748186111,23748113275,23748184511,797.573788,3.378681,22808.497123,96.621319,3.496827,2859.735046
31,23748186118,23748258814,23748187164,23748257383,793.091237,3.407340,22482.871855,96.592660,3.527535,2834.840533
32,23748258823,23748331153,23748259736,23748329647,774.520671,3.344394,22384.255746,96.655606,3.460114,2890.078545
33,23748331160,23748406706,23748332175,23748405018,865.452408,3.577953,23323.029871,96.422047,3.710720,2694.894562
34,23748406715,23748481355,23748407808,23748479840,835.035102,3.494105,23063.362131,96.505895,3.620613,2761.963190
35,23748481361,23748555904,23748482291,23748554472,756.270288,3.168641,23111.069274,96.831359,3.272329,3055.927180
36,23748555911,23748631159,23748556859,23748629642,789.249051,3.275835,23303.818941,96.724165,3.386780,2952.657201
37,23748631166,23748706016,23748632107,23748704426,810.381074,3.381430,23155.254414,96.618570,3.499772,2857.329119
38,23748706023,23748788157,23748707037,23748786200,951.261230,3.617260,25346.581191,96.382740,3.753016,2664.523729
39,23748788164,23748863201,23748790159,23748860874,1383.827342,5.759825,22641.682212,94.240175,6.111857,1636.163813
40,23748863207,23748941038,23748864339,23748938692,1113.593590,4.468656,23806.504949,95.531344,4.677686,2137.809086
41,23748941051,23749014690,23748942509,23749012217,1258.636114,5.338204,22319.258765,94.661796,5.639238,1773.289239
42,23749014698,23749089579,23749015908,23749087748,973.673982,4.061110,23001.887154,95.938890,4.233018,2362.380796
43,23749089586,23749171830,23749090698,23749161140,3778.789980,14.349983,22554.272479,85.650017,16.754209,596.864938
44,23749171837,23749243836,23749173031,23749241377,1169.625470,5.073682,21883.170649,94.926318,5.344863,1870.955379
45,23749243844,23749326146,23749249059,23749324489,2200.291878,8.349736,24151.341147,91.650264,9.110434,1097.642608
46,23749326153,23749402154,23749327221,23749400503,870.575323,3.577585,23463.589844,96.422415,3.710324,2695.182052
47,23749402168,23749476926,23749403159,23749475492,776.441764,3.243800,23159.736964,96.756200,3.352550,2982.804124
48,23749476933,23749555501,23749477926,23749553944,816.464536,3.245596,24339.608264,96.754404,3.354469,2981.098039
49,23749555509,23749626728,23749556484,23749625250,785.406865,3.444306,22017.647161,96.555694,3.567170,2803.342845
