统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
0,22117080956,22117173492,22117113893,22117171746,11104.87823,37.480548,18523.49913,62.519452,59.950219,166.805063
1,22117173499,22117242293,22117176298,22117232055,4174.214961,18.950781,17852.3973,81.049219,23.381818,427.682749
2,22117242316,22117317246,22117251627,22117306346,6471.201855,26.973175,17520.04821,73.026825,36.935982,270.738707
3,22117317269,22117385799,22117323528,22117377355,4707.638458,21.454837,17234.44571,78.545163,27.315288,366.095355
4,22117385813,22117448330,22117388952,22117440557,3493.827848,17.454452,16523.00093,82.545548,21.145238,472.919721
5,22117448344,22117516994,22117457666,22117510469,5073.926861,23.083758,16906.57917,76.916242,30.011552,333.205023
6,22117517009,22117585852,22117523249,22117576466,5003.166602,22.698023,17039.13459,77.301977,29.362798,340.567004
7,22117585875,22117654642,22117595238,22117649194,4742.218132,21.537947,17275.74921,78.462053,27.450145,364.296806
8,22117654665,22117723165,22117660769,22117713560,5029.741722,22.932847,16902.73698,77.067153,29.756966,336.055764
9,22117723180,22117798259,22117732569,22117787192,6549.646487,27.245968,17489.31072,72.754032,37.449426,267.026789
10,22117798281,22117866880,22117804521,22117857711,4933.687071,22.462427,17030.48967,77.537573,28.969731,345.187877
11,22117866897,22117923108,22117876266,22117914044,5901.917955,32.792514,12095.84205,67.207486,48.792948,204.947648
12,22117923125,22117991784,22117932505,22117987323,4431.641427,20.159047,17551.74624,79.840953,25.249006,396.055198
13,22117991801,22118060605,22117998098,22118052175,4715.32283,21.404279,17314.49125,78.595721,27.233389,367.196306
14,22118060625,22118135565,22118070020,22118124968,6401.08196,26.677342,17593.36992,73.322658,36.38349,274.84994
15,22118135586,22118210621,22118144893,22118199419,6566.616142,27.332578,17458.25305,72.667422,37.613249,265.863767
16,22118210646,22118285575,22118216804,22118278935,4097.691423,17.080169,19893.23846,82.919831,20.598413,485.474293
17,22118285595,22118354206,22118291768,22118345712,4696.1119,21.377039,17271.90702,78.622961,27.189307,367.791641
18,22118354227,22118429153,22118363526,22118418096,6517.62827,27.168139,17472.34106,72.831861,37.302547,268.078208
19,22118429172,22118497878,22118435449,22118489172,4797.289466,21.807411,17201.14676,78.192589,27.889358,358.559701
20,22118497899,22118572850,22118507289,22118562386,6356.89682,26.489306,17641.07707,73.510694,36.03463,277.510829
21,22118572873,22118641550,22118582221,22118635773,4842.755334,22.023385,17146.39561,77.976615,28.243576,354.06281
22,22118641570,22118710317,22118647762,22118701760,4722.366838,21.454027,17289.19686,78.545973,27.313975,366.112957
23,22118710338,22118778985,22118719680,22118773119,4869.330454,22.153918,17110.21503,77.846082,28.458616,351.387428
24,22118779007,22118847627,22118785260,22118838544,4910.313772,22.349169,17060.58679,77.650831,28.781623,347.443923
25,22118847643,22118916312,22118857030,22118910950,4722.366838,21.478396,17264.22265,78.521604,27.353487,365.584107
26,22118916329,22118985057,22118922560,22118976882,4612.544353,20.960889,17392.93589,79.039111,26.519642,377.078995
27,22118985073,22119053785,22118994432,22119047784,4917.998144,22.354174,17082.35918,77.645826,28.789924,347.34375
28,22119053802,22119122564,22119060043,22119113271,4973.709842,22.590966,17042.65659,77.409034,29.183888,342.654822
29,22119122581,22119191197,22119131892,22119184760,5042.228827,22.950915,16927.39101,77.049085,29.787395,335.712471
30,22119191214,22119259911,22119197481,22119250269,5093.778156,23.158217,16901.77644,76.841783,30.137531,331.812182
31,22119259928,22119316127,22119269314,22119306573,6064.250316,33.701667,11929.6675,66.298333,50.833356,196.721225
32,22119316153,22119384851,22119325529,22119378571,5012.772067,22.789601,16983.10271,77.210399,29.516232,338.796627
33,22119384868,22119453560,22119391077,22119443627,5168.380602,23.499097,16825.57308,76.500903,30.717412,325.548259
34,22119453577,22119528484,22119462938,22119518234,6279.092552,26.180464,17704.79332,73.819536,35.465495,281.964204
35,22119528503,22119597141,22119537746,22119591728,4692.589896,21.352604,17284.07395,78.647396,27.149791,368.326965
36,22119597163,22119659422,22119603321,22119656364,2950.798887,14.802679,16983.42289,85.197321,17.374583,575.553385
37,22119659434,22119715661,22119662547,22119713374,1728.983723,9.603927,16273.8992,90.396073,10.624274,941.240741
38,22119715673,22119771789,22119718746,22119769010,1873.706064,10.428398,16093.63664,89.571602,11.642527,858.920027
39,22119771796,22119828057,22119774888,22119825909,1677.754575,9.313734,16336.01454,90.686266,10.270281,973.683206
40,22119828066,22119884271,22119831147,22119881615,1836.885114,10.207277,16158.9538,89.792723,11.367599,879.693219
41,22119884281,22119940468,22119887381,22119938293,1688.960951,9.388293,16301.11468,90.611707,10.361015,965.156398
42,22119940477,22119996685,22119943599,22119994527,1690.561862,9.393681,16306.2376,90.606319,10.367578,964.545455
43,22119996691,22120052926,22119999805,22120050796,1679.035304,9.325153,16326.40907,90.674847,10.284168,972.368421
44,22120052932,22120109143,22120055996,22120106980,1673.592207,9.298892,16324.1678,90.701108,10.252236,975.396977
45,22120109149,22120171573,22120112263,22120164615,3224.874825,16.13482,16762.17701,83.86518,19.238998,519.777601
46,22120171579,22120234022,22120174630,22120227102,3192.536426,15.968163,16800.59887,84.031837,19.002516,526.246114
47,22120234044,22120296510,22120237145,22120289735,3162.119119,15.810201,16838.38037,84.189799,18.779236,532.503038
48,22120296559,22120359103,22120299645,22120352121,3223.594096,16.097467,16801.8796,83.902533,19.185914,521.215733
49,22120359110,22120421410,22120362070,22120415818,2738.197925,13.727127,17209.15132,86.272873,15.91129,628.484565
50,22120421416,22120483934,22120427707,22120480330,3168.202581,15.827442,16848.94638,84.172558,18.803565,531.814047
51,22120483941,22120552642,22120490207,22120548769,3246.32703,14.758155,18750.50829,85.241845,17.313275,577.591478
52,22120552648,22120615157,22120558872,22120609867,3686.577515,18.419748,16327.6898,81.580252,22.578684,442.895605
53,22120615193,22120677572,22120621342,22120673881,3150.592561,15.77454,16822.05107,84.22546,18.728944,533.932927
54,22120677579,22120815036,22120683842,22120813002,2656.551472,6.036069,41354.72919,93.963931,6.423815,1556.707244
55,22120815042,22120877573,22120818145,22120871910,2806.71691,14.018647,17214.59442,85.981353,16.304287,613.335615
56,22120877579,22120946312,22120883715,22120940596,3794.799089,17.243537,18212.28206,82.756463,20.836483,479.927438
57,22120946319,22121008689,22120952459,22121005537,2975.132732,14.898188,16994.62926,85.101812,17.506311,571.222557
58,22121008696,22121064999,22121011802,22121062062,1934.860858,10.732998,16092.35591,89.267002,12.023478,831.706106
59,22121065006,22121127372,22121068013,22121120729,3089.757949,15.473174,16878.72332,84.526826,18.305638,546.279793
60,22121127381,22121189800,22121133642,22121184645,3655.199662,18.289303,16330.25126,81.710697,22.382997,446.767694
61,22121189806,22121252229,22121196096,22121249784,2796.791262,13.99324,17189.94039,86.00676,16.26993,614.630796
62,22121252235,22121308569,22121255414,22121305607,1966.238711,10.901054,16070.9037,89.098946,12.234774,817.342452
63,22121308578,22121371005,22121311823,22121365300,2865.630429,14.336745,17122.38195,85.663255,16.736167,597.50838
64,22121371015,22121433447,22121377284,22121431745,2552.172084,12.767491,17437.44121,87.232509,14.636162,683.239242
65,22121433457,22121495908,22121436559,22121488488,3368.956802,16.848409,16626.73995,83.151591,20.262281,493.527846
66,22121495915,22121558390,22121499117,22121552710,2843.858041,14.216887,17159.52308,85.783113,16.57306,603.388876
67,22121558397,22121620918,22121564620,22121616082,3540.894627,17.688457,16477.21488,82.311543,21.489643,465.340447
68,22121620924,22121683299,22121627086,22121678466,3520.402968,17.627255,16450.95994,82.372745,21.399377,467.30332
69,22121683305,22121745862,22121689625,22121740590,3711.551724,18.5303,16318.08434,81.4697,22.745021,439.65666
70,22121745869,22121808276,22121752044,22121803383,3543.776267,17.73519,16437.83247,82.26481,21.558659,463.850741
71,22121808283,22121870791,22121814482,22121866030,3509.196592,17.533756,16504.75054,82.466244,21.261737,470.328467
72,22121870798,22121933220,22121876937,22121930568,2814.721464,14.083176,17171.69001,85.916824,16.391639,610.067114
73,22121933228,22121995640,22121936293,22121988992,3109.929425,15.562712,16873.28022,84.437288,18.43109,542.561515
74,22121995647,22122058084,22122001945,22122054468,3174.286042,15.878405,16816.92816,84.121595,18.87554,529.786161
75,22122058091,22122120582,22122064343,22122117126,3108.328515,15.535037,16900.17552,84.464963,18.392285,543.706222
76,22122120589,22122176823,22122123716,22122173797,1970.080897,10.941779,16035.0433,89.058221,12.286097,813.928165
77,22122176829,22122239245,22122179890,22122233978,2666.477119,13.342733,17318.01326,86.657267,15.397131,649.471662
78,22122239252,22122301684,22122245471,22122298008,3168.202581,15.849244,16821.41071,84.150756,18.834345,530.944922
79,22122301691,22122364207,22122307987,22122359198,3619.659441,18.083371,16396.84915,81.916629,22.075335,452.99425
80,22122364217,22122426738,22122370401,22122422907,3206.624441,16.018618,16811.48506,83.981382,19.074011,524.27359
81,22122426745,22122489134,22122432915,22122484835,3351.987147,16.780202,16623.85831,83.219798,20.163713,495.940395
82,22122489141,22122551631,22122495358,22122546534,3622.541081,18.105297,16385.64278,81.894703,22.108019,452.324554
83,22122551638,22122614055,22122557928,22122609098,3601.088876,18.019129,16383.72168,81.980871,21.979676,454.965769
84,22122614064,22122676647,22122620327,22122671383,3690.739883,18.41874,16347.22092,81.58126,22.57717,442.925306
85,22122676654,22122739040,22122682822,22122733826,3644.313469,18.244478,16330.57144,81.755522,22.315897,448.111053
86,22122739046,22122801502,22122745255,22122798766,2864.029518,14.322083,17133.26814,85.677917,16.716189,598.222471
87,22122801509,22122857697,22122804619,22122855291,1766.124854,9.817043,16224.27096,90.182957,10.885696,918.636693
88,22122857704,22122920125,22122860800,22122912904,3303.319457,16.528092,16682.77183,83.471908,19.800783,505.030532
89,22122920132,22122982627,22122923193,22122975296,3327.333119,16.62853,16682.45165,83.37147,19.945109,501.376059
90,22122982635,22123045147,22122985725,22123039881,2675.44222,13.367034,17339.78564,86.632966,15.4295,648.109143
91,22123045154,22123107620,22123051358,22123101801,3849.55024,19.247271,16150.94924,80.752729,23.834823,419.554188
92,22123107626,22123170084,22123113863,22123163909,3974.101105,19.872554,16023.83692,80.127446,24.801183,403.206574
93,22123170090,22123239151,22123176340,22123229865,4974.350206,22.496054,17137.7507,77.503946,29.025689,344.5224
94,22123239172,22123314107,22123248526,22123304619,6032.872463,25.144459,17959.97851,74.855541,33.590644,297.701942
95,22123314128,22123382760,22123323507,22123376540,4994.521683,22.728465,16980.22107,77.271535,29.413761,339.976922
96,22123382777,22123451461,22123389037,22123441259,5270.838896,23.967736,16720.55333,76.032264,31.523113,317.227554
97,22123451478,22123520248,22123460850,22123514202,4936.56871,22.41966,17082.35918,77.58034,28.898635,346.037099
98,22123520264,22123588921,22123526461,22123580091,4811.377481,21.887062,17171.36982,78.112938,28.019765,356.89093
99,22123588939,22123657619,22123598259,22123651612,4907.432133,22.31654,17082.67936,77.68346,28.727532,348.098127
100,22123657636,22123726387,22123663894,22123717632,4806.894931,21.836773,17205.9495,78.163227,27.9374,357.943116
101,22123726407,22123795137,22123735716,22123789589,4756.946512,21.61647,17249.17409,78.38353,27.577822,362.610217
102,22123795160,22123863756,22123801387,22123855104,4763.99052,21.690769,17199.22567,78.309231,27.698866,361.025607
103,22123863773,22123938808,22123873054,22123928538,6259.881622,26.055841,17764.98757,73.944159,35.237185,283.79111
104,22123938826,22124007430,22123948090,22124001390,4900.067943,22.307737,17065.70971,77.692263,28.712946,348.274961
105,22124007447,22124076146,22124013716,22124068178,4558.433566,20.723737,17437.76139,79.276263,26.141163,382.538456
106,22124076163,22124151154,22124085542,22124140068,6552.528126,27.289941,17458.25305,72.710059,37.532553,266.435377
107,22124151175,22124219905,22124157379,22124211668,4623.750729,21.011203,17382.36987,78.988797,26.600232,375.936569
108,22124219926,22124288470,22124229142,22124283268,4616.386539,21.034664,17330.18018,78.965336,26.637845,375.405743
109,22124288487,22124357320,22124294810,22124348992,4690.988985,21.284849,17348.11038,78.715151,27.040346,369.81776
110,22124357340,22124432268,22124366713,22124421920,6314.312591,26.319934,17676.29711,73.680066,35.721919,279.940165
111,22124432289,22124507245,22124441799,22124496099,6613.682921,27.5575,17385.89188,72.4425,38.040516,262.877614
112,22124507266,22124575953,22124513521,22124568091,4520.011706,20.552652,17472.34106,79.447348,25.869525,386.555217
113,22124575976,22124644655,22124585276,22124639569,4606.14071,20.946723,17383.6506,79.053277,26.49697,377.40164
114,22124644676,22124713374,22124650873,22124704996,4666.65514,21.216047,17329.21963,78.783953,26.929402,371.341338
115,22124713396,22124788350,22124722959,22124777049,6680.280813,27.835739,17318.65362,72.164261,38.572749,259.250383
116,22124788371,22124857058,22124794684,22124848874,4641.680931,21.105886,17350.67184,78.894114,26.752168,373.801476
117,22124857079,22124932019,22124866434,22124921339,6414.849793,26.734721,17579.60209,73.265279,36.490301,274.045421
118,22124932040,22125007064,22124941357,22124995871,6566.936324,27.337919,17454.41086,72.662081,37.623363,265.792296
119,22125007088,22125075622,22125013187,22125066582,4847.237884,22.089766,17096.12701,77.910234,28.352842,352.698329
120,22125075639,22125144435,22125085001,22125138806,4799.850923,21.790511,17227.4017,78.209489,27.861723,358.915349
121,22125144458,22125213042,22125150603,22125204108,4828.026954,21.986178,17131.34705,78.013822,28.182413,354.831222
122,22125213061,22125281901,22125222465,22125276876,4619.908543,20.960198,17421.4321,79.039802,26.518535,377.09474
123,22125281923,22125350482,22125288123,22125342195,4638.479109,21.130705,17312.89034,78.869295,26.792055,373.244978
124,22125350499,22125419192,22125359868,22125412934,5003.486784,22.749043,16990.78708,77.250957,29.448234,339.578934
125,22125419210,22125487908,22125425464,22125479002,4853.96171,22.0676,17141.91306,77.9324,28.316336,353.153034
126,22125487925,22125556781,22125497273,22125551082,4817.781125,21.852852,17228.68243,78.147148,27.963724,357.606167
127,22125556805,22125625422,22125562970,22125617423,4535.060268,20.642115,17434.87975,79.357885,26.011423,384.446484
128,22125625453,22125694240,22125634688,22125688053,4937.849439,22.419934,17086.52155,77.580066,28.899091,346.031643
129,22125694258,22125762830,22125700399,22125753849,4841.794788,22.052733,17113.73703,77.947267,28.291862,353.458537
130,22125762852,22125831304,22125772252,22125828298,3972.180012,18.123649,17944.92995,81.876351,22.135389,451.765275
131,22125831338,22125893807,22125834347,22125887121,3104.166146,15.519698,16897.29388,84.480302,18.370789,544.342445
132,22125893818,22125956274,22125899982,22125951786,3410.580484,17.055207,16586.71718,82.944793,20.562119,486.331205
133,22125956287,22126018643,22125962448,22126013651,3570.991751,17.886009,16394.28769,82.113991,21.781927,459.096207
134,22126018648,22126081092,22126024804,22126076045,3587.00086,17.940875,16406.45462,82.059125,21.863352,457.386414
135,22126081098,22126143562,22126087266,22126138520,3589.242135,17.946337,16410.61699,82.053663,21.871464,457.216771
136,22126143568,22126212584,22126149732,22126202040,5349.603711,24.208879,16748.08899,75.791121,31.941577,313.071582
137,22126212604,22126281295,22126222007,22126276216,4636.878198,21.08282,17356.7553,78.91718,26.715121,374.319845
138,22126281317,22126343568,22126287444,22126340453,2959.123623,14.846348,16972.53669,85.153652,17.434775,573.566328
139,22126343581,22126406258,22126346766,22126400242,2945.996154,14.680026,17122.06177,85.319974,17.205849,581.197696
140,22126406280,22126474953,22126412530,22126466830,4601.978342,20.929623,17385.89188,79.070377,26.469613,377.791693
141,22126474975,22126549976,22126484284,22126539433,6356.256456,26.46898,17657.72654,73.53102,35.997026,277.800725
142,22126550005,22126618693,22126559304,22126613379,4678.822063,21.274458,17313.85089,78.725542,27.023578,370.047218
143,22126618714,22126687336,22126624842,22126678744,4713.081555,21.450847,17258.45937,78.549153,27.30882,366.182065
144,22126687356,22126756027,22126696725,22126751281,4519.371342,20.554528,17467.85851,79.445472,25.872498,386.510804
145,22126756043,22126824687,22126762230,22126815905,4792.806915,21.806713,17185.77802,78.193287,27.888216,358.574387
146,22126824703,22126893558,22126834036,22126888054,4750.542869,21.548181,17295.60051,78.451819,27.46677,364.076296
147,22126893575,22126962075,22126899656,22126953626,4652.246942,21.211679,17280.23176,78.788321,26.922364,371.438403
148,22126962095,22127030858,22126971315,22127024825,4883.738652,22.181987,17132.94796,77.818013,28.504952,350.816233
149,22127030875,22127105636,22127037083,22127095393,5267.316893,22.004789,18669.82238,77.995211,28.212999,354.446538
150,22127105656,22127168383,22127108630,22127164265,2270.731956,11.306136,17813.33508,88.693864,12.747371,784.475465
151,22127168402,22127243236,22127177630,22127232943,6250.276157,26.085736,17710.23642,73.914264,35.291884,283.351263
152,22127243258,22127317981,22127253012,22127308647,6111.637277,25.545013,17813.33508,74.454987,34.309338,291.465842
153,22127317999,22127380551,22127321084,22127375440,2624.213072,13.102699,17403.82208,86.897301,15.078372,663.201562
154,22127380568,22127449326,22127386871,22127440242,4926.643063,22.378487,17088.44264,77.621513,28.830264,346.857737
155,22127449347,22127517816,22127458587,22127512929,4523.213528,20.632695,17399.33953,79.367305,25.996467,384.667658
156,22127517827,22127580458,22127523981,22127576846,3126.899081,15.592917,16926.43046,84.407083,18.47347,541.316813
157,22127580471,22127642717,22127583609,22127638873,2235.511917,11.216785,17694.54749,88.783215,12.633903,791.521054
158,22127642731,22127705351,22127648921,22127701561,3195.418065,15.9374,16854.38947,84.0626,18.958967,527.45491
159,22127705363,22127767637,22127708456,22127763026,2466.683444,12.371134,17472.34106,87.628866,14.117647,708.333333
160,22127767648,22127830164,22127773852,22127826189,3259.134317,16.282232,16757.37428,83.717768,19.448956,514.166421
