统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
0,22585182544,22585286106,22585189259,22585283877,2863.709336,8.636372,30294.996641,91.363628,9.452747,1057.893560
1,22585286116,22585367399,22585289104,22585359813,3385.606275,13.008870,22639.761118,86.991130,14.954249,668.706261
2,22585367411,22585467546,22585370482,22585456045,4665.694594,14.552354,27395.747084,85.447646,17.030726,587.174032
3,22585467567,22585561064,22585473871,22585557766,3074.389204,10.269848,26861.683223,89.730152,11.445259,873.724224
4,22585561075,22585655029,22585564129,22585647127,3507.915864,11.661026,26574.479816,88.338974,13.200318,757.557503
5,22585655050,22585936043,22585664270,22585929249,5127.397284,5.699074,84841.551449,94.300926,6.043498,1654.670913
6,22585936063,22586023479,22585942223,22586014008,5004.767513,17.881166,22984.277134,82.118834,21.774744,459.247649
7,22586023500,22586129605,22586032799,22586120577,5867.978645,17.272513,28104.950593,82.727487,20.878808,478.954548
8,22586129626,22586223449,22586139019,22586215501,5552.279025,18.482675,24488.172791,81.517325,22.673309,441.047229
9,22586223465,22586310906,22586232726,22586304968,4866.448815,17.382006,23130.600386,82.617994,21.039008,475.307586
10,22586310927,22586392102,22586317051,22586386651,3706.108628,14.259316,22284.679091,85.740684,16.630747,601.295896
11,22586392122,22586485812,22586398312,22586475065,5422.925428,18.077703,24574.942159,81.922297,22.066890,453.167621
12,22586485833,22586591937,22586495137,22586585057,5181.828253,15.252959,28790.780803,84.747041,17.998221,555.610479
13,22586591958,22586691957,22586598214,22586685866,3953.289263,12.347123,28064.607639,87.652877,14.086387,709.905240
14,22586691979,22586798151,22586698129,22586791624,4058.949380,11.940060,29935.432063,88.059940,13.559014,737.516763
15,22586798172,22586923087,22586804353,22586912039,5516.418622,13.792579,34479.137250,86.207421,15.999294,625.027570
16,22586923114,22587016786,22586929303,22587007564,4934.327435,16.452088,25057.776873,83.547912,19.691801,507.825579
17,22587016808,22587110473,22587026114,22587101358,5898.075769,19.666898,24091.787263,80.333102,24.481686,408.468596
18,22587110497,22587210340,22587119824,22587204428,4879.256102,15.262963,27088.692382,84.737037,18.012151,555.180786
