统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
0,75147634600,75147788235,75147693806,75147773520,23668.186251,48.114687,25523.001567,51.885313,92.732770,107.836745
1,75147788259,75148099791,75147928081,75148001677,76182.865003,76.376103,23564.127046,23.623897,323.300179,30.931007
2,75148099802,75148255916,75148156033,75148229251,26541.821235,53.099658,23443.098185,46.900342,113.218061,88.325130
3,75148255930,75148568177,75148384027,75148457604,76417.878716,76.436283,23558.043584,23.563717,324.381260,30.827921
4,75148568192,75148724470,75148611985,75148684655,26769.790940,53.499533,23267.638356,46.500467,115.051603,86.917520
5,75148724483,75149036754,75148839865,75148910844,77257.396368,77.270064,22726.210305,22.729936,339.948435,29.416226
6,75149036763,75149192839,75149064812,75149137454,26714.079243,53.457290,23258.673255,46.542710,114.856419,87.065225
7,75149192875,75149505275,75149292756,75149362891,77568.933620,77.549616,22455.976552,22.450384,345.426677,28.949704
8,75149505287,75149661360,75149517677,75149590316,26714.079243,53.458318,23257.712708,46.541682,114.861163,87.061630
9,75149661369,75149973699,75149745717,75149817998,76859.409930,76.857490,23143.087491,23.142510,332.105256,30.110936
10,75149973707,75150286063,75150129832,75150204722,76032.379383,76.024152,23978.442775,23.975848,317.086393,31.537146
11,75150286071,75150442243,75150361034,75150439258,24957.559853,49.911636,25045.930132,50.088364,99.647167,100.354082
12,75150442253,75150754512,75150595274,75150671573,75550.185033,75.565476,24429.579454,24.434524,309.257002,32.335565
13,75150754519,75150910675,75150826480,75150901486,25982.783164,51.967264,24015.583907,48.032736,108.191345,92.428835
14,75150910683,75151223078,75151057538,75151134420,75407.063603,75.389491,24616.245659,24.610509,306.330480,32.644482
15,75151223087,75151379227,75151288641,75151364903,25575.511443,51.157935,24417.732713,48.842065,104.741549,95.473096
16,75151379236,75151691581,75151519752,75151601502,73832.407687,73.827018,26174.892467,26.172982,282.073394,35.451766
17,75151691589,75152004259,75151757158,75151849279,70615.857598,70.537308,29495.501761,29.462692,239.412295,41.768949
18,75152004320,75152316291,75152160070,75152254400,69684.767846,69.763215,30202.784176,30.236785,230.722994,43.342017
19,75152316299,75152628583,75152409963,75152487012,75318.052959,75.327266,24669.716082,24.672734,305.305715,32.754054
20,75152628592,75152784726,75152641006,75152713652,26731.369080,53.472018,23259.953983,46.527982,114.924428,87.013703
21,75152784734,75153097012,75152869072,75152939468,77446.303849,77.457266,22539.544099,22.542734,343.601909,29.103447
22,75153097023,75153409426,75153250040,75153325278,75936.004549,75.916364,24089.866170,24.083636,315.219703,31.723905
23,75153409438,75153565527,75153481220,75153562112,24076.738701,48.175720,25900.176164,51.824280,92.959749,107.573440
24,75153565537,75153877933,75153718616,75153786128,78407.490726,78.388968,21616.138718,21.611032,362.726626,27.568971
25,75153877944,75154034045,75153940432,75154011949,27082.288739,54.185431,22898.468313,45.814569,118.271180,84.551452
26,75154034057,75154346665,75154168392,75154239033,77473.519334,77.402690,22617.988731,22.597310,342.530542,29.194477
27,75154346673,75154502801,75154393567,75154465488,26961.580061,53.934592,23027.821910,46.065408,117.082632,85.409764
28,75154502809,75154815123,75154621314,75154695210,76337.192809,76.339197,23660.181697,23.660803,322.639926,30.994304
29,75154815139,75154971365,75154852560,75154927125,26146.396254,52.271069,23874.383569,47.728931,109.516529,91.310417
30,75154971386,75155283709,75155083897,75155156288,76821.948616,76.821752,23178.307530,23.178248,331.438991,30.171465
31,75155283729,75155439719,75155311825,75155387026,25867.197401,51.791140,24078.019430,48.208860,107.430752,93.083217
32,75155439736,75155752270,75155543091,75155627893,72915.726132,72.866312,27152.088452,27.133688,268.545553,37.237630
33,75155752289,75155908457,75155783258,75155856541,26538.299231,53.074253,23463.910026,46.925747,113.102630,88.415274
34,75155908480,75156220916,75156011484,75156105534,69923.303563,69.897835,30113.133168,30.102165,232.202020,43.065947
35,75156220934,75156376750,75156261318,75156330655,27689.033953,55.500719,22200.471180,44.499281,124.722731,80.177847
36,75156376768,75156689303,75156486235,75156579227,70293.754334,70.245892,29774.380431,29.754108,236.088051,42.357078
37,75156689322,75156845419,75156736229,75156823002,22196.308812,44.410847,27783.167511,55.589153,79.891210,125.170215
38,75156845439,75157157722,75156979755,75157056036,75563.632684,75.573118,24423.816174,24.426882,309.385037,32.322184
39,75157157741,75157313681,75157210634,75157283757,26516.526843,53.108247,23412.680879,46.891753,113.257115,88.294674
40,75157313690,75157626018,75157438646,75157508928,77498.813725,77.497375,22503.043332,22.502625,344.392590,29.036629
41,75157626026,75157783121,75157663435,75157736143,27019.212851,53.717178,23279.805278,46.282822,116.062882,86.160191
42,75157783147,75158094802,75157891514,75157967847,75345.908808,75.507211,24440.465647,24.492789,308.283442,32.437681
43,75158094820,75158251169,75158122820,75158201775,24780.178931,49.500796,25279.983299,50.499204,98.022924,102.016952
44,75158251184,75158563012,75158357000,75158430584,76281.481111,76.402376,23560.284860,23.597624,323.771472,30.885982
45,75158563022,75158719441,75158585015,75158660518,25907.860536,51.730289,24174.714446,48.269711,107.169252,93.310347
46,75158719457,75159032132,75158816120,75158892329,75712.197212,75.626769,24400.763058,24.373231,310.286187,32.228312
47,75159032181,75159187917,75159047385,75159123180,25595.682920,51.331099,24268.207639,48.668901,105.470018,94.813675
48,75159187936,75159500317,75159278601,75159353120,76159.171522,76.144836,23859.655189,23.855164,319.196447,31.328670
49,75159500337,75159656828,75159509647,75159581387,27135.759162,54.157108,22969.868937,45.842892,118.136326,84.647969
50,75159656846,75159968836,75159737522,75159809021,77000.930449,77.082919,22892.705033,22.917081,336.355753,29.730427
51,75159968856,75160281163,75160121726,75160194595,76663.778623,76.667510,23331.354608,23.332490,328.586916,30.433348
52,75160281184,75160437168,75160349918,75160424804,25966.133691,51.991230,23977.162046,48.008770,108.295275,92.340132
53,75160437191,75160749332,75160581089,75160661801,74099.439617,74.142455,25842.543373,25.857545,286.734315,34.875491
54,75160749347,75160905449,75160818091,75160891489,26480.346258,52.980743,23500.730976,47.019257,112.678820,88.747824
55,75160905456,75161218162,75161046291,75161126989,74284.825094,74.193652,25838.060823,25.806348,287.501549,34.782421
56,75161218182,75161374334,75161283613,75161355819,26878.012514,53.759158,23119.073828,46.240842,116.259037,86.014819
57,75161374355,75161686802,75161511960,75161593186,74032.841726,74.003271,26007.117009,25.996729,284.663778,35.129162
58,75161686825,75161842909,75161748892,75161818926,27551.675801,55.130571,22423.638153,44.869429,122.868892,81.387565
59,75161842934,75162155452,75161973859,75162046322,76861.331023,76.813176,23201.360646,23.186824,331.279412,30.185999
60,75162155470,75162311319,75162201909,75162274328,26712.798514,53.532586,23187.272631,46.467414,115.204573,86.802110
61,75162311342,75162623681,75162430027,75162503223,76569.324883,76.565206,23436.054177,23.434794,326.715941,30.607628
62,75162623699,75162779814,75162657959,75162732150,26230.604165,52.476700,23754.635437,47.523300,110.423097,90.560764
63,75162779835,75163092063,75162888854,75162962046,76535.065391,76.558156,23434.773449,23.441844,326.587605,30.619656
